title,budget,revenue,runtime,popularity,vote_average,vote_count,belongs_to_collection,director,lead_actor,profit,profit_margin,production_company,genre1,genre2,genre3
Pixels,88000000,244900000,106,11.4443,5.75,7701,False,Chris Columbus,Adam Sandler,156900000,0.6406696610861576,Columbia Pictures,Action,Comedy,Science Fiction
A Quiet Place Part II,55000000,297372261,96,11.4024,7.5,6836,True,John Krasinski,Emily Blunt,242372261,0.8150466361084029,Paramount Pictures,Science Fiction,Thriller,Horror
About Time,12000000,87100449,123,11.4011,7.915,8766,False,Richard Curtis,Domhnall Gleeson,75100449,0.8622280351275801,Universal Pictures,Drama,Romance,Fantasy
X,1000000,15113105,106,11.3986,6.741,3537,True,Ti West,Mia Goth,14113105,0.9338322601477327,A24,Horror,Thriller,
Three Thousand Years of Longing,60000000,20300000,108,11.3946,6.894,1473,False,George Miller,Tilda Swinton,-39700000,-1.9556650246305418,FilmNation Entertainment,Drama,Fantasy,Romance
Mulholland Drive,15000000,20289986,147,11.3913,7.808,6526,False,David Lynch,Naomi Watts,5289986,0.2607190561886046,StudioCanal,Thriller,Drama,Mystery
Aquaman,160000000,1152028393,143,11.3849,6.876,14344,True,James Wan,Jason Momoa,992028393,0.8611145341797144,Warner Bros. Pictures,Action,Adventure,Fantasy
Madagascar 3: Europe's Most Wanted,145000000,746921274,93,11.3843,6.616,6280,True,Eric Darnell,Ben Stiller,601921274,0.8058697682776137,DreamWorks Animation,Animation,Family,Comedy
Bridesmaids,32500000,288383523,125,11.3824,6.523,4438,False,Paul Feig,Kristen Wiig,255883523,0.8873028539844837,Apatow Productions,Comedy,Romance,
Napoleon,165000000,220597098,158,11.3715,6.348,2751,False,Ridley Scott,Joaquin Phoenix,55597098,0.25203005163739733,Apple Studios,History,War,Romance
Den of Thieves,30000000,80509622,140,11.3588,6.8,3131,True,Christian Gudegast,Gerard Butler,50509622,0.6273737318006536,Atmosphere Entertainment MM,Action,Crime,Thriller
Rio,90000000,483866772,96,11.3524,6.746,6832,True,Carlos Saldanha,Jesse Eisenberg,393866772,0.8139983871428146,Blue Sky Studios,Animation,Adventure,Comedy
Superbad,20000000,170800000,113,11.3412,7.255,7547,False,Greg Mottola,Jonah Hill,150800000,0.882903981264637,Columbia Pictures,Comedy,,
The Twilight Saga: New Moon,50000000,709827462,131,11.3312,5.991,9374,True,Chris Weitz,Kristen Stewart,659827462,0.9295603471594059,Summit Entertainment,Adventure,Fantasy,Drama
xXx: Return of Xander Cage,85000000,346118277,107,11.3241,6.134,9033,True,D.J. Caruso,Vin Diesel,261118277,0.7544192097084778,Rox Productions,Action,Adventure,Crime
The Fate of the Furious,250000000,1236000000,136,11.3052,6.9,10443,True,F. Gary Gray,Vin Diesel,986000000,0.7977346278317152,Original Film,Action,Crime,Thriller
Wish,175000000,254997360,95,11.3004,6.3,1613,False,Fawn Veerasunthorn,Ariana DeBose,79997360,0.3137183851628895,Walt Disney Pictures,Animation,Family,Fantasy
After Ever Happy,14000000,19238073,95,11.3003,6.8,1280,True,Castille Landon,Josephine Langford,5238073,0.2722763865175062,Voltage Pictures,Romance,Drama,
The Princess and the Frog,105000000,270997378,98,11.2724,7.221,5785,False,Ron Clements,Anika Noni Rose,165997378,0.6125423767015192,Walt Disney Pictures,Animation,Romance,Fantasy
Trolls Band Together,95000000,209646030,91,11.2609,7.3,904,True,Walt Dohrn,Anna Kendrick,114646030,0.5468552397581772,DreamWorks Animation,Animation,Family,Music
Maleficent: Mistress of Evil,185000000,491730089,119,11.2398,7.3,6225,True,Joachim Rønning,Angelina Jolie,306730089,0.6237773442413852,Walt Disney Pictures,Family,Fantasy,Adventure
Saw X,13000000,125319714,118,11.2366,7.205,2106,True,Kevin Greutert,Tobin Bell,112319714,0.8962653234270866,Twisted Pictures,Horror,Mystery,
The Incredible Hulk,150000000,264770996,114,11.2308,6.222,12070,False,Louis Leterrier,Edward Norton,114770996,0.43347269049061554,Marvel Studios,Science Fiction,Action,Adventure
Cars 3,175000000,383925276,102,11.2296,6.855,6030,True,Brian Fee,Owen Wilson,208925276,0.5441821340254763,Pixar,Family,Comedy,Adventure
Raya and the Last Dragon,100000000,130423032,107,11.2244,7.835,6949,False,Don Hall,Kelly Marie Tran,30423032,0.23326425964395614,Walt Disney Pictures,Animation,Family,Fantasy
Shooter,61000000,95700000,124,11.1975,7.119,5071,False,Antoine Fuqua,Mark Wahlberg,34700000,0.3625914315569488,Paramount Pictures,Drama,Action,Thriller
War of the Worlds,132000000,603873119,117,11.1965,6.519,8609,False,Steven Spielberg,Tom Cruise,471873119,0.781411035121767,Paramount Pictures,Adventure,Thriller,Science Fiction
Toy Story 4,175000000,1073841394,100,11.1945,7.477,10014,True,Josh Cooley,Tom Hanks,898841394,0.8370336616023576,Walt Disney Pictures,Family,Adventure,Animation
